/watch?v=L2imTdA5efs&t=0s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=59%2C (Kor, Eng) 세바시 613회 Change Power : 변화의 힘 | 파룩 초드리 아크람 칸 컴퍼니 프로듀서
/watch?v=CxFecE30_Q4&t=0s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=60%2C (Kor, Eng) 세바시 316회 나는 대단한 꿈을 꾸지 않겠다 | 강백수 강백수밴드보컬, 시인
/watch?v=EAWMAgjyJvc&t=0s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=61%2C 불편한 책을 읽는다는 것 | 채사장 지적 대화를 위한 넓고 얉은 지식 지대넓얇 우리는 언젠가 만난다 저자 | 독서 동기부여 강의 강연 | 세바시 569회
/watch?v=CkPESgYjL6U&t=0s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=62%2C 꿈꾸는 삶을 '발견'해내는 방법 | 이동진 모험가 | 세바시 543회
/watch?v=IAXDfkrEalE&t=0s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=63%2C 나다움을 찾아야 내 다음이 보인다 | 이민호 제이라이프스쿨 대표 | 동기부여 나다움 꿈 강의 강연 | 세바시 599회
/watch?v=vkv-W-nh_so&t=0s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=66%2C (Kor, Chn) 세바시 593회 재난민과 집을 지으며 내가 배운 것 | 씨에잉쥔 건축가
/watch?v=PaesMKtq1DI&t=0s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=67%2C (Kor, Eng) 세바시 592회 작은 공동체가 큰 도시를 어떻게 바꿀 것인가 | 안나 포즈니악 연구원, 저널리스트
/watch?v=3FZG9RhH-No&t=0s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=68%2C (Kor, Eng) 세바시 591회 중국, 재즈를 만나다 | 자스민 첸 재즈 가수
/watch?v=vM4AHnXxwAQ&t=0s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=69%2C (Kor, Eng) 세바시 590회 325년 된 과자 기업의 철학 | 카나코 스즈카 쇼고인 야츠하시 이사
/watch?v=8_NYWO_zcBA&t=0s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=70%2C (Kor, Chn) 세바시 589회 배움을 바꾸는 방법 | 양지아린 교사
